year,crop,plantingDOY_50,harvestedDOY_50,plantYear,harvYear,CropMod,SpeciesID,cult_R,cult_I,plantDOY_adj,IHarI,RowSpc,RowSp_irr,Ppop_rain,Ppop_irr,Sdepth,IResI,ITilI,TDep,T_DaysBeforePlanting,IferI,SoilNC,numFertEvents,ANFer1,ANFer2,IIrrI,ThetaC,AIrAm,DSoil,EffIrr,IAMe
2012,SORGHUM,148,302,2012,2012,S,SG,NA,NA,-5,M,50.8,50.8,9,14,4,N,N,5.08,30,A,75,1,70,70,F,45,31.75,25,1,IR004
2012,SOYBEANS,134,295,2012,2012,S,SB,NA,NA,-5,M,54,54,39.54,39.54,4,N,N,5.08,30,N,75,0,70,70,F,45,31.75,25,1,IR004
2012,WHEAT,275,162,2011,2012,C,WH,IB1099,IB1099,-10,M,17.78,17.78,295,295,2.54,N,N,5.08,25,A,75,1,70,70,F,45,31.75,25,1,IR004
2013,ALFALFA,127,182,2013,2013,S,AL,NA,NA,10,M,76,50.8,488.7,733.5,4,N,N,5.08,30,A,75,1,70,70,F,45,31.75,25,1,IR004
2013,CORN,132,293,2013,2013,C,MZ,IB0072,SD6_2,5,M,76.2,76.2,4.4,8.4,5.08,N,N,5.08,30,A,75,2,70,70,F,45,31.75,25,1,IR004
2013,FALLOW,90,260,2009,2009,S,PA,NA,NA,0,R,50,50,5,5,4,N,N,5.08,30,N,75,0,70,70,N,45,31.75,0,1,IR004
2013,GRASS,90,260,2008,2008,S,PA,NA,NA,0,R,5,5,100,100,4,N,N,5.08,30,N,75,0,70,70,N,45,31.75,0,1,IR004
2013,SORGHUM,160,300,2013,2013,S,SG,NA,NA,-5,M,50.8,50.8,9,14,4,N,N,5.08,30,A,75,1,70,70,F,45,31.75,25,1,IR004
2013,SOYBEANS,153,293,2013,2013,S,SB,NA,NA,-5,M,54,54,39.54,39.54,4,N,N,5.08,30,N,75,0,70,70,F,45,31.75,25,1,IR004
2013,WHEAT,274,181,2012,2013,C,WH,IB1099,IB1099,-10,M,17.78,17.78,295,295,2.54,N,N,5.08,25,A,75,1,70,70,F,45,31.75,25,1,IR004
2014,ALFALFA,127,182,2014,2014,S,AL,NA,NA,10,M,76,50.8,488.7,733.5,4,N,N,5.08,30,A,75,1,70,70,F,45,31.75,25,1,IR004
2014,CORN,124,278,2014,2014,C,MZ,IB0072,SD6_2,5,M,76.2,76.2,4.4,8.4,5.08,N,N,5.08,30,A,75,2,70,70,F,45,31.75,25,1,IR004
2014,FALLOW,90,260,2011,2011,S,PA,NA,NA,0,R,50,50,5,5,4,N,N,5.08,30,N,75,0,70,70,N,45,31.75,0,1,IR004
2014,GRASS,90,260,2010,2010,S,PA,NA,NA,0,R,5,5,100,100,4,N,N,5.08,30,N,75,0,70,70,N,45,31.75,0,1,IR004
2014,SORGHUM,159,306,2014,2014,S,SG,NA,NA,-5,M,50.8,50.8,9,14,4,N,N,5.08,30,A,75,1,70,70,F,45,31.75,25,1,IR004
2014,SOYBEANS,145,299,2014,2014,S,SB,NA,NA,-5,M,54,54,39.54,39.54,4,N,N,5.08,30,N,75,0,70,70,F,45,31.75,25,1,IR004
2014,WHEAT,272,180,2013,2014,C,WH,IB1099,IB1099,-10,M,17.78,17.78,295,295,2.54,N,N,5.08,25,A,75,1,70,70,F,45,31.75,25,1,IR004
2015,ALFALFA,127,182,2015,2015,S,AL,NA,NA,10,M,76,50.8,488.7,733.5,4,N,N,5.08,30,A,75,1,70,70,F,45,31.75,25,1,IR004
2015,CORN,123,270,2015,2015,C,MZ,IB0072,SD6_2,5,M,76.2,76.2,4.4,8.4,5.08,N,N,5.08,30,A,75,2,70,70,F,45,31.75,25,1,IR004
2015,FALLOW,90,260,2013,2013,S,PA,NA,NA,0,R,50,50,5,5,4,N,N,5.08,30,N,75,0,70,70,N,45,31.75,0,1,IR004
2015,GRASS,90,260,2012,2012,S,PA,NA,NA,0,R,5,5,100,100,4,N,N,5.08,30,N,75,0,70,70,N,45,31.75,0,1,IR004
2015,SORGHUM,165,291,2015,2015,S,SG,NA,NA,-5,M,50.8,50.8,9,14,4,N,N,5.08,30,A,75,1,70,70,F,45,31.75,25,1,IR004
2015,SOYBEANS,165,291,2015,2015,S,SB,NA,NA,-5,M,54,54,39.54,39.54,4,N,N,5.08,30,N,75,0,70,70,F,45,31.75,25,1,IR004
2015,WHEAT,278,179,2014,2015,C,WH,IB1099,IB1099,-10,M,17.78,17.78,295,295,2.54,N,N,5.08,25,A,75,1,70,70,F,45,31.75,25,1,IR004
2016,ALFALFA,127,182,2016,2016,S,AL,NA,NA,10,M,76,50.8,488.7,733.5,4,N,N,5.08,30,A,75,1,70,70,F,45,31.75,25,1,IR004
2016,CORN,122,276,2016,2016,C,MZ,IB0072,SD6_2,5,M,76.2,76.2,4.4,8.4,5.08,N,N,5.08,30,A,75,2,70,70,F,45,31.75,25,1,IR004
2016,FALLOW,90,260,2015,2015,S,PA,NA,NA,0,R,50,50,5,5,4,N,N,5.08,30,N,75,0,70,70,N,45,31.75,0,1,IR004
2016,GRASS,90,260,2014,2014,S,PA,NA,NA,0,R,5,5,100,100,4,N,N,5.08,30,N,75,0,70,70,N,45,31.75,0,1,IR004
2016,SORGHUM,164,297,2016,2016,S,SG,NA,NA,-5,M,50.8,50.8,9,14,4,N,N,5.08,30,A,75,1,70,70,F,45,31.75,25,1,IR004
2016,SOYBEANS,157,297,2016,2016,S,SB,NA,NA,-5,M,54,54,39.54,39.54,4,N,N,5.08,30,N,75,0,70,70,F,45,31.75,25,1,IR004
2016,WHEAT,277,178,2015,2016,C,WH,IB1099,IB1099,-10,M,17.78,17.78,295,295,2.54,N,N,5.08,25,A,75,1,70,70,F,45,31.75,25,1,IR004
2017,ALFALFA,127,182,2017,2017,S,AL,NA,NA,10,M,76,50.8,488.7,733.5,4,N,N,5.08,30,A,75,1,70,70,F,45,31.75,25,1,IR004
2017,CORN,127,281,2017,2017,C,MZ,IB0072,SD6_2,5,M,76.2,76.2,4.4,8.4,5.08,N,N,5.08,30,A,75,2,70,70,F,45,31.75,25,1,IR004
2017,FALLOW,90,260,2017,2017,S,PA,NA,NA,0,R,50,50,5,5,4,N,N,5.08,30,N,75,0,70,70,N,45,31.75,0,1,IR004
2017,GRASS,90,260,2016,2016,S,PA,NA,NA,0,R,5,5,100,100,4,N,N,5.08,30,N,75,0,70,70,N,45,31.75,0,1,IR004
2017,SORGHUM,162,302,2017,2017,S,SG,NA,NA,-5,M,50.8,50.8,9,14,4,N,N,5.08,30,A,75,1,70,70,F,45,31.75,25,1,IR004
2017,SOYBEANS,148,295,2017,2017,S,SB,NA,NA,-5,M,54,54,39.54,39.54,4,N,N,5.08,30,N,75,0,70,70,F,45,31.75,25,1,IR004
2017,WHEAT,283,176,2016,2017,C,WH,IB1099,IB1099,-10,M,17.78,17.78,295,295,2.54,N,N,5.08,25,A,75,1,70,70,F,45,31.75,25,1,IR004
2018,WHEAT,288,NA,2017,NA,C,WH,IB1099,IB1099,-10,M,17.78,17.78,295,295,2.54,N,N,5.08,25,A,75,1,70,70,F,45,31.75,25,1,IR004
