FPDIV_KEY,energy_cd,FID,WUA_YEAR,LIFT_ENERG,CEDTotal,GHGTotal,EnergyPump,geometry
28564IRR20779,5,11223,2010,235940.1146,1337780.449782,77624.29770339999,1572934.0973333335,"c(-100.6637, 39.41564)"
31506IRR15540,5,11657,2010,145207.2045,823324.8495149999,47773.170280499995,968048.03,"c(-100.73946, 39.30751)"
32529IRR51209,5,11658,2010,113681.6096,644574.7264319999,37401.24955839999,757877.3973333334,"c(-100.74755, 39.31054)"
29501IRR34244,5,11731,2010,50087.02467,283993.4298789,16478.63111643,333913.4978,"c(-100.45746, 39.42756)"
29680IRR25246,5,12003,2010,102965.685,583815.43395,33875.71036499999,686437.9,"c(-100.54375, 39.36922)"
30591IRR6348,5,12004,2010,93574.69694,530568.5316498,30786.075293259993,623831.3129333333,"c(-100.5285132, 39.38665071)"
31105IRR45420,5,12262,2010,104657.9498,593410.5753660001,34432.465484199995,697719.6653333334,"c(-100.5952955, 39.3755445)"
32123IRR33231,5,12263,2010,277699.3271,1574555.184657,91363.07861589998,1851328.8473333335,"c(-100.59881, 39.4018)"
30951IRR44911,5,12303,2010,68159.89699,386466.61593329994,22424.606109709996,454399.31326666666,"c(-100.660566, 39.393536)"
31104IRR39093,5,12304,2010,223145.9925,1265237.777475,73415.03153249998,1487639.95,"c(-100.62617, 39.38165)"
32536IRR13049,5,12305,2010,133763.7475,758440.448325,44008.272927499995,891758.3166666667,"c(-100.645, 39.37664)"
31012IRR51707,5,12324,2010,97325.30506,551834.4796902,32020.025364739995,648835.3670666667,"c(-100.57351, 39.41888)"
31227IRR51584,5,12481,2010,94142.99493,533790.7812531,30973.045331969995,627619.9662,"c(-100.58511, 39.46344)"
32073IRR48657,5,12516,2010,152486.807,864600.19569,50168.159502999995,1016578.7133333334,"c(-100.52525, 39.41567)"
30869IRR27831,6,12953,2010,105220.6242,573452.4018900001,40404.719692800005,457480.9747826087,"c(-100.72548, 39.34025)"
38223IRR12879,5,13171,2010,57591.28321,326542.5758007,18947.532176089997,383941.88806666667,"c(-100.48808, 39.40287)"
34496IRR37325,1,13279,2010,60239.95692999999,356018.14545629994,20662.305226989996,91272.6620151515,"c(-100.59471, 39.47729)"
35040IRR5333,1,13280,2010,101988.2744,602750.701704,34981.978119199994,154527.68848484848,"c(-100.60357, 39.47738)"
