masterid,year,PDIV_ID,crop,volume_m3,area_m2,depth_m,system
null_geo9,1996,29316,2,40741.8444,222577.3,0.183046254545455,1
null_geo9,1996,29505,24,207792.0408,615122.72,0.337806631578947,3
null_geo9,1996,29526,2,174734.7768,408732.86,0.427504633663366,3
sheridan,1996,29626,2,124914.5196,485623.2,0.2572258,4
null_geo9,1996,29817,2,151570.0224,493716.92,0.30699855737705,3
sheridan,1996,29875,16,136114.518,477529.48,0.285039661016949,3
null_geo9,1996,29884,2,307296.8724,971246.4,0.316395100000001,3
null_geo9,1996,2999,2,178521.5604,485623.2,0.367614199999999,3
sheridan,1996,30042,-99,0,0,0,-99
sheridan,1996,30217,16,145353.2832,485623.2,0.2993136,3
null_geo9,1996,30312,-99,0,0,0,1
null_geo9,1996,30466,2,246547.9824,546326.1,0.451284622222221,4
null_geo9,1996,30470,24,289436.082,971246.4,0.2980055,3
sheridan,1996,30601,2,169665.174,493716.92,0.343649508196721,3
null_geo9,1996,30688,2,84308.358,242811.6,0.347218000000001,3
null_geo9,1996,30797,2,237691.596,283280.2,0.839070857142856,3
sheridan,1996,30863,-99,0,0,0,-99
null_geo9,1996,31091,2,229525.9584,497763.78,0.461115317073169,3
sheridan,1996,31459,26,118303.0668,509904.36,0.232010857142857,3
sheridan,1996,31460,2,170269.5792,493716.92,0.344873704918034,3
sheridan,1996,31781,24,125642.2728,501810.64,0.250378451612903,3
sheridan,1996,31930,23,274251.9432,566560.4,0.484065942857144,4
sheridan,1996,31978,16,59614.0884,250905.32,0.237596516129032,6
null_geo9,1996,32030,2,151249.3176,477529.48,0.316733694915254,3
sheridan,1996,32208,2,68063.4264,242811.6,0.2803144,3
sheridan,1996,32536,2,168530.3724,526091.8,0.3203448,3
sheridan,1996,32874,2,295554.1428,667731.9,0.442625018181819,6
sheridan,1996,32929,2,130822.8888,412779.72,0.316932235294118,3
sheridan,1996,33013,,,,,
null_geo9,1996,33129,2,161758.5672,481576.34,0.335894722689076,3
sheridan,1996,33231,2,250088.07,963152.68,0.259656302521008,3
null_geo9,1996,33596,5,65954.1756,485623.2,0.1358138,3
sheridan,1996,33769,,,,,
null_geo9,1996,33851,2,128577.9552,485623.2,0.2647696,3
null_geo9,1996,33967,2,133154.166,501810.64,0.265348064516129,3
null_geo9,1996,34042,2,125913.6384,445154.6,0.2828544,4
sheridan,1996,34244,18,104932.1436,283280.2,0.370419085714284,3
sheridan,1996,34393,2,135325.0908,477529.48,0.283386508474576,3
null_geo9,1996,34701,2,171207.024,485623.2,0.352552000000001,3
sheridan,1996,34746,2,139395.5748,465388.9,0.299525634782609,4
null_geo9,1996,34939,,,,,
sheridan,1996,3504,2,133647.558,566560.4,0.235893428571428,4
sheridan,1996,35060,2,314796.4308,647497.6,0.48617505,1
sheridan,1996,35096,2,154382.3568,615122.72,0.250978736842105,6
null_geo9,1996,35196,2,144378.834,485623.2,0.297307,3
sheridan,1996,3530,2,176708.3448,493716.92,0.357915147540985,3
sheridan,1996,35717,2,178521.5604,505857.5,0.352909632,3
sheridan,1996,35833,2,137915.3988,550372.96,0.25058594117647,3
sheridan,1996,35872,2,217314.5064,497763.78,0.436582634146343,4
sheridan,1996,3595,24,127418.484,493716.92,0.258080655737705,3
sheridan,1996,35961,2,165705.7032,323748.8,0.5118354,1
null_geo9,1996,36129,2,168604.3812,428967.16,0.393048226415094,3
sheridan,1996,36589,2,257291.5932,445154.6,0.577983927272728,1
null_geo9,1996,3675,2,170072.2224,485623.2,0.3502152,3
sheridan,1996,36799,2,278001.7224,971246.4,0.2862326,4
null_geo9,1996,36802,2,297083.658,942918.38,0.315069012875535,3
sheridan,1996,36832,,,,,
sheridan,1996,3724,2,318028.1484,497763.78,0.638915317073171,3
sheridan,1996,37325,2,132192.0516,437060.88,0.302457555555556,4
sheridan,1996,37367,2,317399.0736,813418.86,0.390204656716417,6
null_geo9,1996,37426,9,162399.9768,566560.4,0.286642628571428,4
null_geo9,1996,37740,2,219966.4884,768903.4,0.286078863157895,3
sheridan,1996,37865,23,144995.574,607029,0.2388616,1
sheridan,1996,37880,24,141048.438,501810.64,0.281079677419355,3
sheridan,1996,37899,2,367947.084,647497.6,0.5682615,1
null_geo9,1996,37955,2,209629.926,485623.2,0.431673,3
